Date,Ticker,Volume
2022-01-04,TTE,1409500
2022-01-05,TTE,1587600
2022-01-06,TTE,1591000
2022-01-07,TTE,1784500
2022-01-10,TTE,1612800
2022-01-11,TTE,2695000
2022-01-12,TTE,2395600
2022-01-13,TTE,1697700
2022-01-14,TTE,1948500
2022-01-18,TTE,3303100
2022-01-19,TTE,3618800
2022-01-20,TTE,3770500
2022-01-21,TTE,2573700
2022-01-24,TTE,2966400
2022-01-25,TTE,2663100
2022-01-26,TTE,2753100
2022-01-27,TTE,2522400
2022-01-28,TTE,2231400
2022-01-31,TTE,2553800
2022-02-01,TTE,2755300
2022-02-02,TTE,2648200
2022-02-03,TTE,2193700
2022-02-04,TTE,2144900
2022-02-07,TTE,2066000
2022-02-08,TTE,3293400
2022-02-09,TTE,2725800
2022-02-10,TTE,3723000
2022-02-11,TTE,4477800
2022-02-14,TTE,4443000
2022-02-15,TTE,3018700
2022-02-16,TTE,1659900
2022-02-17,TTE,2731700
2022-02-18,TTE,2732400
2022-02-22,TTE,3332800
2022-02-23,TTE,3161700
2022-02-24,TTE,6042200
2022-02-25,TTE,3805500
2022-02-28,TTE,6319900
2022-03-01,TTE,5556600
2022-03-02,TTE,5320200
2022-03-03,TTE,3667700
2022-03-04,TTE,3747800
2022-03-07,TTE,5354500
2022-03-08,TTE,8863300
2022-03-09,TTE,4681600
2022-03-10,TTE,3122600
2022-03-11,TTE,2928500
2022-03-14,TTE,2373800
2022-03-15,TTE,3349300
2022-03-16,TTE,3217700
2022-03-17,TTE,3795800
2022-03-18,TTE,3203800
2022-03-21,TTE,2787500
2022-03-22,TTE,2651000
2022-03-23,TTE,2856900
2022-03-24,TTE,2054800
2022-03-25,TTE,2165100
2022-03-28,TTE,1957900
2022-03-29,TTE,3200200
2022-03-30,TTE,1888400
2022-03-31,TTE,2237700
2022-01-03,COP,5769900
2022-01-04,COP,9189300
2022-01-05,COP,9034500
2022-01-06,COP,8679000
2022-01-07,COP,10838800
2022-01-10,COP,9125400
2022-01-11,COP,8510600
2022-01-12,COP,7740100
2022-01-13,COP,6814000
2022-01-14,COP,7946600
2022-01-18,COP,10782900
2022-01-19,COP,7370100
2022-01-20,COP,7707700
2022-01-21,COP,10625600
2022-01-24,COP,9505400
2022-01-25,COP,8514800
2022-01-26,COP,9416400
2022-01-27,COP,9624600
2022-01-28,COP,11561400
2022-01-31,COP,7539800
2022-02-01,COP,9424900
2022-02-02,COP,8803400
2022-02-03,COP,13258500
2022-02-04,COP,12035300
2022-02-07,COP,8420600
2022-02-08,COP,7481500
2022-02-09,COP,6973200
2022-02-10,COP,7149900
2022-02-11,COP,9580800
2022-02-14,COP,7274400
2022-02-15,COP,8379300
2022-02-16,COP,6854400
2022-02-17,COP,6842800
2022-02-18,COP,6574800
2022-02-22,COP,9267500
2022-02-23,COP,7355000
2022-02-24,COP,11509300
2022-02-25,COP,10563000
2022-02-28,COP,15096000
2022-03-01,COP,14453500
2022-03-02,COP,16168000
2022-03-03,COP,8704900
2022-03-04,COP,10977300
2022-03-07,COP,13788800
2022-03-08,COP,17231400
2022-03-09,COP,12656200
2022-03-10,COP,9481000
2022-03-11,COP,7666500
2022-03-14,COP,10532200
2022-03-15,COP,8863600
2022-03-16,COP,9314200
2022-03-17,COP,8868300
2022-03-18,COP,16146900
2022-03-21,COP,8107400
2022-03-22,COP,6377500
2022-03-23,COP,7681500
2022-03-24,COP,6192500
2022-03-25,COP,7833800
2022-03-28,COP,6091100
2022-03-29,COP,10977600
2022-03-30,COP,6069200
2022-03-31,COP,9777900
2022-01-03,EQR,1430500
2022-01-04,EQR,1551500
2022-01-05,EQR,1949500
2022-01-06,EQR,1509700
2022-01-07,EQR,1426700
2022-01-10,EQR,1698900
2022-01-11,EQR,1969900
2022-01-12,EQR,1095900
2022-01-13,EQR,1509300
2022-01-14,EQR,1379600
2022-01-18,EQR,1363400
2022-01-19,EQR,1650700
2022-01-20,EQR,1902300
2022-01-21,EQR,1070900
2022-01-24,EQR,2786400
2022-01-25,EQR,3154000
2022-01-26,EQR,2131100
2022-01-27,EQR,2949800
2022-01-28,EQR,2692600
2022-01-31,EQR,3499500
2022-02-01,EQR,1971400
2022-02-02,EQR,3965700
2022-02-03,EQR,2247000
2022-02-04,EQR,1718900
2022-02-07,EQR,2600200
2022-02-08,EQR,1830400
2022-02-09,EQR,2114600
2022-02-10,EQR,1953800
2022-02-11,EQR,2174400
2022-02-14,EQR,1588400
2022-02-15,EQR,1370800
2022-02-16,EQR,1048100
2022-02-17,EQR,1453300
2022-02-18,EQR,3433500
2022-02-22,EQR,2123800
2022-02-23,EQR,1096500
2022-02-24,EQR,2081900
2022-02-25,EQR,1513200
2022-02-28,EQR,1969800
2022-03-01,EQR,1919400
2022-03-02,EQR,2354100
2022-03-03,EQR,1346300
2022-03-04,EQR,2325200
2022-03-07,EQR,1720600
2022-03-08,EQR,1364500
2022-03-09,EQR,1157700
2022-03-10,EQR,718200
2022-03-11,EQR,931000
2022-03-14,EQR,1286300
2022-03-15,EQR,1291800
2022-03-16,EQR,1613700
2022-03-17,EQR,1129400
2022-03-18,EQR,2992800
2022-03-21,EQR,815400
2022-03-22,EQR,1434300
2022-03-23,EQR,1342100
2022-03-24,EQR,1102700
2022-03-25,EQR,854400
2022-03-28,EQR,1195300
2022-03-29,EQR,2144400
2022-03-30,EQR,916900
2022-03-31,EQR,2414000
2022-01-03,BP,9785600
2022-01-04,BP,15444300
2022-01-05,BP,13507900
2022-01-06,BP,13366900
2022-01-07,BP,16171800
2022-01-10,BP,10207300
2022-01-11,BP,14559100
2022-01-12,BP,19244700
2022-01-13,BP,14885600
2022-01-14,BP,19625900
2022-01-18,BP,16067600
2022-01-19,BP,14456700
2022-01-20,BP,12563100
2022-01-21,BP,17472600
2022-01-24,BP,20993700
2022-01-25,BP,17655000
2022-01-26,BP,16620000
2022-01-27,BP,14698700
2022-01-28,BP,14609200
2022-01-31,BP,10179000
2022-02-01,BP,15409100
2022-02-02,BP,11775200
2022-02-03,BP,13173100
2022-02-04,BP,16951100
2022-02-07,BP,15654900
2022-02-08,BP,19711100
2022-02-09,BP,17658600
2022-02-10,BP,13024300
2022-02-11,BP,29645900
2022-02-14,BP,20608500
2022-02-15,BP,19787000
2022-02-16,BP,15300500
2022-02-17,BP,12509600
2022-02-18,BP,11377300
2022-02-22,BP,16344100
2022-02-23,BP,11924500
2022-02-24,BP,39965300
2022-02-25,BP,22371600
2022-02-28,BP,37847800
2022-03-01,BP,24860000
2022-03-02,BP,28593500
2022-03-03,BP,18735700
2022-03-04,BP,22937200
2022-03-07,BP,26330200
2022-03-08,BP,33894400
2022-03-09,BP,24512200
2022-03-10,BP,20436700
2022-03-11,BP,19553800
2022-03-14,BP,19434700
2022-03-15,BP,15614600
2022-03-16,BP,17662100
2022-03-17,BP,18703900
2022-03-18,BP,16269400
2022-03-21,BP,13650800
2022-03-22,BP,10811700
2022-03-23,BP,21290000
2022-03-24,BP,10445400
2022-03-25,BP,16918100
2022-03-28,BP,14869200
2022-03-29,BP,15603500
2022-03-30,BP,14757400
2022-03-31,BP,13423500
2022-01-03,PBR,20664900
2022-01-04,PBR,24812500
2022-01-05,PBR,34076900
2022-01-06,PBR,25474500
2022-01-07,PBR,22490800
2022-01-10,PBR,30335200
2022-01-11,PBR,42595400
2022-01-12,PBR,49174800
2022-01-13,PBR,53631500
2022-01-14,PBR,39166400
2022-01-18,PBR,41079300
2022-01-19,PBR,33856700
2022-01-20,PBR,37785700
2022-01-21,PBR,30354200
2022-01-24,PBR,45880700
2022-01-25,PBR,49105600
2022-01-26,PBR,62929300
2022-01-27,PBR,46722900
2022-01-28,PBR,52073800
2022-01-31,PBR,34129500
2022-02-01,PBR,31445300
2022-02-02,PBR,24897600
2022-02-03,PBR,33698400
2022-02-04,PBR,32862600
2022-02-07,PBR,24239600
2022-02-08,PBR,45302000
2022-02-09,PBR,27741800
2022-02-10,PBR,30712200
2022-02-11,PBR,44724900
2022-02-14,PBR,35718100
2022-02-15,PBR,27568600
2022-02-16,PBR,30170000
2022-02-17,PBR,21535700
2022-02-18,PBR,24577200
2022-02-22,PBR,39064300
2022-02-23,PBR,40071500
2022-02-24,PBR,54054500
2022-02-25,PBR,37419400
2022-02-28,PBR,31919700
2022-03-01,PBR,51834900
2022-03-02,PBR,42679500
2022-03-03,PBR,28176700
2022-03-04,PBR,35690900
2022-03-07,PBR,67666100
2022-03-08,PBR,48377100
2022-03-09,PBR,28818300
2022-03-10,PBR,35434300
2022-03-11,PBR,42727400
2022-03-14,PBR,25360300
2022-03-15,PBR,27489000
2022-03-16,PBR,26765600
2022-03-17,PBR,44397100
2022-03-18,PBR,31191100
2022-03-21,PBR,28004800
2022-03-22,PBR,22982300
2022-03-23,PBR,29392800
2022-03-24,PBR,22399200
2022-03-25,PBR,20020200
2022-03-28,PBR,35117600
2022-03-29,PBR,40652100
2022-03-30,PBR,29211400
2022-03-31,PBR,30413700
2022-01-03,GOLD,12996700
2022-01-04,GOLD,14194500
2022-01-05,GOLD,20273400
2022-01-06,GOLD,21071800
2022-01-07,GOLD,12787600
2022-01-10,GOLD,19743700
2022-01-11,GOLD,13733200
2022-01-12,GOLD,19607800
2022-01-13,GOLD,11928800
2022-01-14,GOLD,12857500
2022-01-18,GOLD,13184400
2022-01-19,GOLD,36169200
2022-01-20,GOLD,20414400
2022-01-21,GOLD,21714100
2022-01-24,GOLD,23935400
2022-01-25,GOLD,16843300
2022-01-26,GOLD,24282900
2022-01-27,GOLD,20552100
2022-01-28,GOLD,19097600
2022-01-31,GOLD,18321800
2022-02-01,GOLD,14344100
2022-02-02,GOLD,16669100
2022-02-03,GOLD,12239400
2022-02-04,GOLD,14157400
2022-02-07,GOLD,13218300
2022-02-08,GOLD,13731900
2022-02-09,GOLD,11394100
2022-02-10,GOLD,15490800
2022-02-11,GOLD,32059700
2022-02-14,GOLD,38007900
2022-02-15,GOLD,22290700
2022-02-16,GOLD,41704400
2022-02-17,GOLD,46712400
2022-02-18,GOLD,28735700
2022-02-22,GOLD,29821500
2022-02-23,GOLD,23816500
2022-02-24,GOLD,53409900
2022-02-25,GOLD,22502000
2022-02-28,GOLD,23866200
2022-03-01,GOLD,32082900
2022-03-02,GOLD,23287400
2022-03-03,GOLD,23936800
2022-03-04,GOLD,35834200
2022-03-07,GOLD,39144500
2022-03-08,GOLD,67227900
2022-03-09,GOLD,39175000
2022-03-10,GOLD,27099100
2022-03-11,GOLD,19901000
2022-03-14,GOLD,23139500
2022-03-15,GOLD,26227800
2022-03-16,GOLD,23974800
2022-03-17,GOLD,22857500
2022-03-18,GOLD,36452000
2022-03-21,GOLD,21346900
2022-03-22,GOLD,16305700
2022-03-23,GOLD,17005900
2022-03-24,GOLD,17732900
2022-03-25,GOLD,16977500
2022-03-28,GOLD,18905100
2022-03-29,GOLD,21536400
2022-03-30,GOLD,13921600
2022-03-31,GOLD,11671400
2022-01-03,GFI,3556500
2022-01-04,GFI,7168800
2022-01-05,GFI,8300300
2022-01-06,GFI,5870100
2022-01-07,GFI,4958300
2022-01-10,GFI,4071000
2022-01-11,GFI,4362000
2022-01-12,GFI,5888800
2022-01-13,GFI,3780800
2022-01-14,GFI,2906500
2022-01-18,GFI,10920400
2022-01-19,GFI,20099700
2022-01-20,GFI,8763200
2022-01-21,GFI,9721500
2022-01-24,GFI,10615500
2022-01-25,GFI,6500300
2022-01-26,GFI,10787600
2022-01-27,GFI,12800800
2022-01-28,GFI,9637000
2022-01-31,GFI,10976600
2022-02-01,GFI,9989700
2022-02-02,GFI,15086400
2022-02-03,GFI,7210400
2022-02-04,GFI,5266400
2022-02-07,GFI,6100500
2022-02-08,GFI,6124700
2022-02-09,GFI,6633800
2022-02-10,GFI,8590600
2022-02-11,GFI,7155900
2022-02-14,GFI,14519100
2022-02-15,GFI,10187000
2022-02-16,GFI,10923100
2022-02-17,GFI,15606800
2022-02-18,GFI,14931600
2022-02-22,GFI,11431200
2022-02-23,GFI,12104600
2022-02-24,GFI,13954700
2022-02-25,GFI,9659600
2022-02-28,GFI,17013100
2022-03-01,GFI,14991000
2022-03-02,GFI,11934600
2022-03-03,GFI,10118400
2022-03-04,GFI,18416500
2022-03-07,GFI,17250800
2022-03-08,GFI,18708100
2022-03-09,GFI,13562200
2022-03-10,GFI,10103400
2022-03-11,GFI,9229300
2022-03-14,GFI,10711300
2022-03-15,GFI,9438200
2022-03-16,GFI,7404900
2022-03-17,GFI,12555800
2022-03-18,GFI,12632100
2022-03-21,GFI,6774100
2022-03-22,GFI,6755600
2022-03-23,GFI,8171700
2022-03-24,GFI,5998200
2022-03-25,GFI,5286200
2022-03-28,GFI,4920900
2022-03-29,GFI,6632300
2022-03-30,GFI,4395700
2022-03-31,GFI,6153100
2022-01-03,MON,182900
2022-01-04,MON,0
2022-01-05,MON,227900
2022-01-06,MON,19200
2022-01-07,MON,500
2022-01-10,MON,6900
2022-01-11,MON,0
2022-01-12,MON,0
2022-01-13,MON,400
2022-01-14,MON,23300
2022-01-18,MON,1600
2022-01-19,MON,0
2022-01-20,MON,1800
2022-01-21,MON,4300
2022-01-24,MON,25900
2022-01-25,MON,12900
2022-01-26,MON,1000
2022-01-27,MON,3200
2022-01-28,MON,1500
2022-01-31,MON,700
2022-02-01,MON,21400
2022-02-02,MON,400
2022-02-03,MON,500
2022-02-04,MON,100
2022-02-07,MON,3400
2022-02-08,MON,200
2022-02-09,MON,0
2022-02-10,MON,900
2022-02-11,MON,31500
2022-02-14,MON,4400
2022-02-15,MON,0
2022-02-16,MON,100
2022-02-17,MON,500
2022-02-18,MON,15700
2022-02-22,MON,5600
2022-02-23,MON,500100
2022-02-24,MON,2100
2022-02-25,MON,0
2022-02-28,MON,15000
2022-03-01,MON,2000
2022-03-02,MON,12200
2022-03-03,MON,14400
2022-03-04,MON,2700
2022-03-07,MON,500
2022-03-08,MON,0
2022-03-09,MON,2000
2022-03-10,MON,1100
2022-03-11,MON,1900
2022-03-14,MON,45500
2022-03-15,MON,0
2022-03-16,MON,2200
2022-03-17,MON,800
2022-03-18,MON,11300
2022-03-21,MON,14500
2022-03-22,MON,0
2022-03-23,MON,22600
2022-03-24,MON,4000
2022-03-25,MON,300
2022-03-28,MON,500
2022-03-29,MON,100
2022-03-30,MON,21100
2022-03-31,MON,28000
2022-01-03,MOS,3798400
2022-01-04,MOS,4046400
2022-01-05,MOS,4815700
2022-01-06,MOS,3970000
2022-01-07,MOS,3934600
2022-01-10,MOS,4832000
2022-01-11,MOS,5029800
2022-01-12,MOS,8511800
2022-01-13,MOS,4313700
2022-01-14,MOS,6419400
2022-01-18,MOS,5102100
2022-01-19,MOS,4603200
2022-01-20,MOS,4546000
2022-01-21,MOS,5003000
2022-01-24,MOS,7804700
2022-01-25,MOS,5242700
2022-01-26,MOS,6066000
2022-01-27,MOS,4776900
2022-01-28,MOS,3942000
2022-01-31,MOS,4131100
2022-02-01,MOS,10038200
2022-02-02,MOS,7441200
2022-02-03,MOS,5825000
2022-02-04,MOS,6820600
2022-02-07,MOS,6761400
2022-02-08,MOS,7347900
2022-02-09,MOS,7368200
2022-02-10,MOS,7677500
2022-02-11,MOS,9591400
2022-02-14,MOS,7984700
2022-02-15,MOS,6181000
2022-02-16,MOS,5582000
2022-02-17,MOS,5765200
2022-02-18,MOS,4823100
2022-02-22,MOS,7738900
2022-02-23,MOS,9786700
2022-02-24,MOS,10706300
2022-02-25,MOS,12150300
2022-02-28,MOS,15683200
2022-03-01,MOS,11324100
2022-03-02,MOS,12305100
2022-03-03,MOS,13376500
2022-03-04,MOS,17991000
2022-03-07,MOS,24638900
2022-03-08,MOS,17925200
2022-03-09,MOS,15112000
2022-03-10,MOS,18388500
2022-03-11,MOS,13855200
2022-03-14,MOS,11773900
2022-03-15,MOS,10955100
2022-03-16,MOS,13659200
2022-03-17,MOS,11637100
2022-03-18,MOS,16045600
2022-03-21,MOS,14430100
2022-03-22,MOS,10715400
2022-03-23,MOS,8854500
2022-03-24,MOS,10348100
2022-03-25,MOS,8666300
2022-03-28,MOS,9185200
2022-03-29,MOS,14888900
2022-03-30,MOS,6604400
2022-03-31,MOS,7969900
2022-01-03,NTR,2122200
2022-01-04,NTR,6511000
2022-01-05,NTR,3530400
2022-01-06,NTR,3110900
2022-01-07,NTR,2041500
2022-01-10,NTR,3510400
2022-01-11,NTR,2533200
2022-01-12,NTR,5619300
2022-01-13,NTR,2147400
2022-01-14,NTR,2436600
2022-01-18,NTR,5750000
2022-01-19,NTR,3120600
2022-01-20,NTR,2104100
2022-01-21,NTR,4092200
2022-01-24,NTR,3780500
2022-01-25,NTR,3331200
2022-01-26,NTR,2264600
2022-01-27,NTR,1467500
