Date,Ticker,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE
2022-01-04,COP,74.55999756,77.37999725,74.27999878,76.97000122,76.35659027
2022-01-05,COP,77.98000336,78.26999664,75.51999664,75.65000153,75.04711151
2022-01-06,COP,77.81999969,78.79000092,76.90000153,78.48999786,77.86447906
2022-01-07,COP,78.87000275,80.93000031,78.37999725,80.63999939,79.99734497
2022-01-10,COP,80.65000153,81.16000366,79.20999908,81.02999878,80.3842392
2022-01-11,COP,81.61000061,83.76999664,80.62999725,83.58999634,82.92382813
2022-01-12,COP,84,84.54000092,83.09999847,84.40000153,83.72738647
2022-01-13,COP,83.94000244,84.86000061,83.19000244,83.62000275,82.95359802
2022-01-14,COP,84.22000122,86.87000275,83.87000275,86.73999786,86.04872894
2022-01-18,COP,88,89.11000061,85.81999969,87.51000214,86.81259155
2022-01-19,COP,87.88999939,88.44000244,85.72000122,87.27999878,86.58442688
2022-01-20,COP,86.05000305,88.47000122,85.40000153,85.62999725,84.9475708
2022-01-21,COP,84.91000366,85.11000061,82.15000153,82.72000122,82.06076813
2022-01-24,COP,80.69999695,83.44999695,78.77999878,83.01999664,82.35837555
2022-01-25,COP,83.12000275,87.26000214,81.31999969,87.11000061,86.41578674
2022-01-26,COP,88.72000122,89.19000244,86.36000061,87.05999756,86.36618042
2022-01-27,COP,88.94999695,89.73999786,87.80999756,89.66000366,88.94546509
2022-01-28,COP,87.98000336,89.72000122,87.69999695,89.22000122,88.50896454
2022-01-31,COP,88.77999878,89.43000031,86.91999817,88.62000275,87.91374969
2022-02-01,COP,87.40000153,91.88999939,87.22000122,91.54000092,90.81047821
2022-02-02,COP,90.44999695,92.61000061,88.98000336,92.20999908,91.4751358
2022-02-03,COP,92.77999878,92.94999695,89.47000122,90.87000275,90.14582062
2022-02-04,COP,92,94.93000031,91.75,91.87000275,91.13785553
2022-02-07,COP,90.41999817,94.23000336,89.68000031,92.94000244,92.19932556
2022-02-08,COP,91.94999695,93.15000153,90,91.33000183,90.60214996
2022-02-09,COP,91.52999878,94.04000092,91.25,92.94999695,92.20923615
2022-02-10,COP,92.23999786,94.33000183,91.29000092,91.91000366,91.17753601
2022-02-11,COP,91.83999634,93.69000244,91.34999847,93.51999664,93.2413559
2022-02-14,COP,92.5,92.72000122,90.20999908,91.55000305,91.27723694
2022-02-15,COP,88.68000031,89.91999817,87.73000336,89.68000031,89.41280365
2022-02-16,COP,89.76999664,91.90000153,89.63999939,90.20999908,89.94122314
2022-02-17,COP,90.16000366,91.84999847,90.16000366,91.16000366,90.88839722
2022-02-18,COP,89.61000061,90.63999939,88.69999695,89.62999725,89.36294556
2022-02-22,COP,92.73000336,92.84999847,86.41999817,87.83000183,87.5683136
2022-02-23,COP,88,89.48000336,87.34999847,88.23000336,87.96712494
2022-02-24,COP,90,90.25,85.29000092,87.73000336,87.46861267
2022-02-25,COP,88.37999725,91.51999664,87.81999969,91.26999664,90.99806213
2022-02-28,COP,90.66999817,95.06999969,89.84999847,94.86000061,94.57736969
2022-03-01,COP,95.84999847,98.45999908,94.80000305,96.95999908,96.67111206
2022-03-02,COP,98.37000275,99.97000122,97.19000244,98.04000092,97.74789429
2022-03-03,COP,97.19999695,98.19000244,95.62999725,97.41000366,97.11977386
2022-03-04,COP,97.61000061,100.3399963,97.44000244,100.2699966,99.97124481
2022-03-07,COP,101.4899979,103.7699966,99.12000275,101.2699966,100.9682693
2022-03-08,COP,101.5100021,104.4400024,95.86000061,98.80000305,98.50563049
2022-03-09,COP,95.36000061,98.72000122,92.76000214,96.20999908,95.92334747
2022-03-10,COP,97.27999878,99.83000183,96.44000244,99.72000122,99.42288971
2022-03-11,COP,98.83000183,101.0599976,98.16000366,98.41000366,98.1167984
2022-03-14,COP,97.37999725,97.55000305,94.20999908,96.55000305,96.26233673
2022-03-15,COP,92.86000061,95.81999969,92.31999969,95.05000305,94.76680756
2022-03-16,COP,95.19999695,95.76000214,94.09999847,94.81999969,94.53749084
2022-03-17,COP,96.65000153,99.06999969,96.51000214,98.83000183,98.53554535
2022-03-18,COP,99.11000061,100.1500015,98.47000122,99.59999847,99.30324554
2022-03-21,COP,101.1699982,103.9700012,100.8700027,102.7600021,102.4538345
2022-03-22,COP,102.6699982,102.8700027,100.3199997,101.7699966,101.466774
2022-03-23,COP,103.2200012,105.0199966,103.1900024,104.3700027,104.0590363
2022-03-24,COP,104.9700012,105.8499985,103.75,104.5400009,104.2285309
2022-03-25,COP,104.1699982,107.5199966,103.8199997,107.5,107.1797104
2022-03-28,COP,105.0599976,105.1399994,103.0100021,103.5,103.1916275
2022-03-29,COP,99.98999786,100.9400024,97.83999634,100.6900024,100.3899994
2022-03-30,COP,101.3399963,102.7600021,100.5999985,101.0999985,101.0999985
2022-03-31,COP,100,102.4499969,99.40000153,100,100
2022-01-03,EQR,90.77999878,91.19000244,89.19000244,91.05999756,90.41400146
2022-01-04,EQR,91.51999664,93.02999878,91.37999725,92.25,91.59555817
2022-01-05,EQR,92.25,92.5,90.25,90.45999908,89.81826019
2022-01-06,EQR,91.04000092,91.44999695,90.25,90.72000122,90.07641602
2022-01-07,EQR,90.23999786,90.80000305,89.43000031,89.65000153,89.01400757
2022-01-10,EQR,89.33000183,90.61000061,88.94000244,89.68000031,89.04379272
2022-01-11,EQR,89.93000031,90.72000122,88.76000214,90.55000305,89.90762329
2022-01-12,EQR,90.37000275,91.55999756,90.06999969,90.98000336,90.33457184
2022-01-13,EQR,91.33000183,92.12999725,91.19000244,91.47000122,90.8210907
2022-01-14,EQR,91.01999664,91.22000122,89.80000305,90.83000183,90.18563843
2022-01-18,EQR,90.66000366,90.68000031,89.12999725,90.25,89.60974884
2022-01-19,EQR,90.45999908,91.13999939,89.15000153,89.22000122,88.58705902
2022-01-20,EQR,88.95999908,90.29000092,88.33000183,88.34999847,87.72322845
2022-01-21,EQR,88.79000092,89.08000183,87.84999847,88.05999756,87.43527985
2022-01-24,EQR,88.02999878,88.62000275,85.55000305,88.33999634,87.71329498
2022-01-25,EQR,87.23999786,88.48999786,85.72000122,87.62000275,86.99840546
2022-01-26,EQR,87.87000275,89.37999725,86.91000366,87.38999939,86.77003479
2022-01-27,EQR,88.01999664,89.11000061,86.52999878,86.66999817,86.05514526
2022-01-28,EQR,86.72000122,88.90000153,85.16000366,88.88999939,88.25939178
2022-01-31,EQR,88.31999969,89.16999817,87.40000153,88.73000336,88.10053253
2022-02-01,EQR,88.23000336,89.15000153,87.63999939,88.09999847,87.47499847
2022-02-02,EQR,88.80999756,92.54000092,88.73999786,92,91.34733582
2022-02-03,EQR,92.04000092,92.40000153,91.30000305,91.58999634,90.94023895
2022-02-04,EQR,91.06999969,91.43000031,89.33000183,90.12000275,89.48067474
2022-02-07,EQR,89.87999725,90.69000244,89.26000214,89.55000305,88.91471863
2022-02-08,EQR,89.87000275,89.94999695,87.13999939,87.19000244,86.57145691
2022-02-09,EQR,88.51000214,90.44000244,88.48000336,90.31999969,89.67925262
2022-02-10,EQR,89.04000092,90,86.36000061,86.97000122,86.35301971
2022-02-11,EQR,87.26999664,87.66000366,85.70999908,86.37999725,85.76719666
2022-02-14,EQR,86.66000366,87.43000031,85.27999878,85.91999817,85.31046295
2022-02-15,EQR,86.58000183,87.23999786,86.05999756,86.31999969,85.70762634
2022-02-16,EQR,86.69000244,86.91999817,85.19999695,86.23000336,85.61827087
2022-02-17,EQR,85.80999756,86.01000214,84.65000153,84.93000031,84.32749176
2022-02-18,EQR,84.75,85.73999786,84.23999786,84.36000061,83.76153564
2022-02-22,EQR,84.26999664,85.44000244,83.88999939,84.66000366,84.0594101
2022-02-23,EQR,85.01000214,85.65000153,83.66000366,83.73000336,83.13600922
